title,album,year,lyrics,cover,songwriters_parsed,vocals_parsed
Penny Lane,Magical Mystery Tour,1966,"Penny lane there is a barber showing photographs Of every head he´s had the pleasure to have known And all the people that come and go Stop and say hello  On the corner is a banker with a motor car The little children laugh at him behind his back And the banker never wears a mac In the pouring rain Very strange  Penny lane is in my ears and in my eyes There beneath the blue suburban skies I sit and meanwhile back  In penny lane there is a fireman with an hourglass And in his pocket is a portrait of the queen He likes to keep his fire engine clean It´s a clean machine  Penny lane is in my ears and in my eyes A four of fish and finger pies In summer, meanwhile back  Behind the shelter in the middle of the roundabout The pretty nurse is selling poppies from a tray And though she feels as if she´s in a play She is anyway  Penny lane the barber shaves another customer We see the banker sitting waiting for a trim And then the fireman rushes in From the pouring rain Very strange  Penny lane is in my ears and in my eyes There beneath the blue suburban skies Penny lane is in my ears and in my eyes There beneath the blue suburban skies Penny lane",False,"[""Paul McCartney""]","[""McCartney""]"
Piggies,The Beatles,1968,"Have you seen the little piggies Crawling in the dirt? And for all the little piggies, Life is getting worse; Always having dirt to Play around in.  Have you seen the bigger piggies In their starched white shirts? You will find the bigger piggies Stirring up the dirt Always have clean shirts to Play around in.  In their styes with all their backing, They don't care What goes on around. In their eyes there's something lacking. What they need's a damn good whacking.  Everywhere there's lots of piggies Living piggy lives. You can see them out for dinner With their piggy wives. Clutching forks and knives to Eat their bacon.",False,"[""George Harrison""]","[""Harrison""]"
Please Mr. Postman,With the Beatles,1963,,True,"[""Georgia Dobbins"", ""William Garrett"", ""Brian Holland"", ""Robert Bateman"", ""Freddie Gorman""]","[""Lennon""]"
Please Please Me,Please Please Me,1962,"Last night I said these words to my girl I know you never even try, girl C\'mon (C\'mon), c\'mon (C\'mon), c\'mon (C\'mon), c\'mon (C\'mon) Please please me, whoa yeah, like I please you  You don\'t need me to show the way, love Why do I always have to say ""love"" C\'mon (C\'mon), c\'mon (C\'mon), c\'mon (C\'mon), c\'mon (C\'mon) Please please me, whoa yeah, like I please you  I don\'t wanna sound complaining But you know there\'s always rain in my heart (In my heart) I do all the pleasing with you, it\'s so hard to reason With you, whoah yeah, why do you make me blue  Last night I said these words to my girl I know you never even try, girl C\'mon (C\'mon), c\'mon (C\'mon), c\'mon (C\'mon), c\'mon (C\'mon) Please please me, whoa yeah, like I please you (Me) Whoa yeah, like I please you (Me) Whoa yeah, like I please you",False,"[""John Lennon""]","[""Lennon"", ""McCartney""]"
Polythene Pam,Abbey Road,1969,"Well you should see Polythene Pam She\'s so good-looking but she looks like a man Well you should see her in drag dressed in her polythene bag Yes you should see Polythene Pam Yeah yeah yeah  Get a dose of her in jackboots and kilt She\'s killer-diller when she\'s dressed to the hilt She\'s the kind of a girl that makes the ""News of the World"" Yes you could say she was attractively built Yeah yeah yeah",False,"[""John Lennon""]","[""Lennon""]"
P.S. I Love You,Please Please Me,1962,"As I write this letter Send my love to you Remember that I'll always Be in love with you  Treasure these few words till we're together Keep all my love forever P.S. I love you You, you, you  I'll be coming home again to you, love And till the day I do, love P.S. I love you You, you, you  As I write this letter Send my love to you Remember that I'll always Be in love with you  Treasure these few words till we're together Keep all my love forever P.S. I love you You, you, you  As I write this letter (Oh) Send my love to you (You know I want you to) Remember that I'll always (Yeah) Be in love with you  I'll be coming home again to you, love And till the day I do, love P.S. I love you You, you, you You, you, you I love you",False,"[""Paul McCartney"", ""John Lennon""]","[""McCartney""]"
Rain,Rarities,1966,"If the rain comes they run and hide their heads They might as well be dead If the rain comes, if the rain comes  When the sun shines they slip into the shade (when the sun shines down) And sip their lemonade (when the sun shines down) When the sun shines, when the sun shines  Rain, I don't mind Shine, the weather's fine  I can show you that when it starts to rain (when the rain comes down) Everything's the same (when the rain comes down) I can show you, I can show you  Rain, I don't mind Shine, the weather's fine  Can you hear me, that when it rains and shines (when it rains and shines) It's just a state of mind? (when it rains and shines) Can you hear me, can you hear me?  Sdaeh rieht edih dna nur yeht semoc niar eht fI (rain) (rain)",False,"[""John Lennon""]","[""Lennon""]"
Real Love,Anthology 2,1980,"All my little plans and schemes Lost like some forgotten dreams Seems that all I really was doing Was waiting for you  Just like little girls and boys Playing with their little toys Seems like all they really were doing Was waiting for love  Don't need to be alone No need to be alone It's real love, it's real Yes it's real love, it's real  From this moment on I know Exactly where my life will go Seems that all I really was doing Was waiting for love  Don't need to be afraid No need to be afraid It's real love, it's real Yes it's real love, it's real  Thought I'd been in love before But in my heart, I wanted more Seems like all I really was doing Was waiting for you  Don't need to be alone Don't need to be alone  It's real love, it's real It's real love, it's real Yes it's real love, it's real It's real love, it's real Yes it's real love, it's real It's real love, it's real Yes it's real love, it's real It's real love, it's real",False,"[""John Lennon""]","[""Lennon""]"
Revolution,1967-1970,1968,"You say you want a revolution Well, you know We all want to change the world You tell me that it's evolution Well, you know We all want to change the world  But when you talk about destruction Don't you know that you can count me out  Don't you know it's gonna be alright Alright, alright  You say you got a real solution Well, you know We'd all love to see the plan You ask me for a contribution Well, you know We're all doing what we can  But if you want money for people with minds that hate All I can tell you is brother you have to wait  Don't you know it's gonna be alright Alright, alright, al...  You say you'll change the constitution Well, you know We all want to change your head You tell me it's the institution Well, you know You'd better free your mind instead  But if you go carrying pictures of Chairman Mao You ain't going to make it with anyone anyhow  Don't you know know it's gonna be alright Alright, alright  Alright, alright Alright, alright Alright, alright Alright, alright",False,"[""John Lennon""]","[""Lennon""]"
Revolution 1,The Beatles,1968,"Ah, take 2 OK!  You say you want a revolution Well you know We all want to change the world You tell me that it's evolution Well you know We all want to change the world But when you talk about destruction Don't you know you can count me out in Don't you know it's gonna be alright Don't you know it's gonna be alright Don't you know it's gonna be alright  You say you got a real solution Well you know We'd all love to see the plan You ask me for a contribution Well you know We're doing what we can But if you want money for people with minds that hate All I can tell you is brother you have to wait Don't you know it's gonna be alright Don't you know it's gonna be alright Don't you know it's gonna be alright  You say you'll change the constitution Well you know We'd all love to change your head You tell me it's the institution Well you know You better free your mind instead But if you go carrying pictures of Chairman Mao You ain't going to make it with anyone anyhow Don't you know it's gonna be alright Don't you know it's gonna be alright Don't you know it's gonna be alright  Oh, oh, oh, oh, oh, oh, oh, oh, oh, oh Alright, alright, alright, alright, alright Alright, alright, alright, alright, alright Oh, oh, oh, oh, oh, oh Alright, alright, alright Alright Alright",False,"[""John Lennon""]","[""Lennon""]"
Revolution 9,The Beatles,1968,"(Bottle of Claret for you if I had realised   Well, do it next time.  I forgot about it, George, I'm sorry. Will you forgive me?  Yes.)  Number 9, number 9, number 9, number 9, number 9, number 9, number 9, number 9, number 9, number 9, number 9, number 9, number 9, number 9, number  Then there's this Welsh Rarebit wearing some brown underpants About the shortage of grain in Hertfordshire Everyone of them knew that as time went by They'd get a little bit older and a litter slower but It's all the same thing, in this case manufactured by someone who's always Umpteen your father's giving it diddly-i-dee District was leaving, intended to pay for  Number 9, number 9  Who's to know? Who was to know?  Number 9, number 9, number 9, number 9, number 9, number 9, number 9, number 9, number 9, number 9, number 9, number 9  I sustained nothing worse than Also for example Whatever you're doing A business deal falls through I informed him on the third night When fortune gives  Number 9, number 9, number 9  People ride, people ride Ride, ride, ride, ride, ride Ride! Ride!  9, number 9, number 9, number 9  I've missed all of that It makes me a few days late Compared with, like, wow! And weird stuff like that Taking our sides sometimes Floral bark Rouge doctors have brought this specimen  I have nobody's short-cuts, aha   9, number 9  With the situation  They are standing still  The plan, the telegram  Ooh ooh  Number 9, number  Ooh  A man without terrors from beard to false As the headmaster reported to me My son he really can try as they do to find function Tell what he was saying, and his voice was low and his hive high And his eyes were low  Alright!  Number 9, number 9, number 9, number 9, number 9, number 9, number 9, number 9, number 9, number 9, number 9  So the wife called me and we'd better go to see a surgeon Or whatever to price it  yellow underclothes So, any road, we went to see the dentist instead Who gave her a pair of teeth which wasn't any good at all So I said I'd marry, join the fucking navy and went to sea  In my broken chair, my wings are broken and so is my hair I'm not in the mood for whirling  Um da Aaah  How? Dogs for dogging, hands for clapping Birds for birding and fish for fishing Them for themming and when for whimming  Only to find the night-watchman Unaware of his presence in the building  Onion soup  Number 9, number 9, number 9, number 9, number 9, number 9  Industrial output Financial imbalance  Thrusting it between his shoulder blades  The Watusi The twist  Eldorado  Take this brother, may it serve you well  Maybe it's nothing Aaah Maybe it's nothing What? What? Oh  Maybe even then Impervious in London Could be difficult thing It's quick like rush for peace is Because it's so much It was like being naked  If you became naked",False,"[""John Lennon"", ""Yoko Ono"", ""George Harrison""]","[""Sound Collage""]"
